"","text","gpt_4o_mini","gpt_5.4_mini","deepseek_v4_flash","deepseek_v4_pro","claude_haiku_4_5"
"49","People have a lot of mistaken ideas about how a girl or woman who has had vaginal intercourse can and cannot become pregnant.",0,0,0,0,0
"50","It’s hard to go out with friends or to get schoolwork done when a baby is around.",0,0,0,0,0
"51","Another kind of surrogate pregnancy happens when the egg that joins with the donated sperm is the surrogate’s egg.",0,0,0,0,0
"52","Sexual desire means you feel attracted to someone in a very strong way .",0,1,0,0.133333333333333,0
"53","Puberty is one of the names given to this span of time.",0,0,0,0,0
"54","Remember, there are no stupid questions.",0,0,0,0,0
"55","There are kids whose mother and father live together, or whose mother and father live apart, or who have only one parent, or whose parent or parents have adopted them, or who live with a parent and a stepparent, or who live with an aunt, an uncle, a grandmother, a grandfather, or other relative, or who have gay or lesbian parents, or who have foster parents.",0,0,0,0,0
"56","But many can be cured.",0,0,0,0,0
"57","Your parent or parents, doctor or nurse, or other health- care providers are good people to talk with about birth control, post­ponement, and abstinence.",0,0,0,0,0
"58","Erections usually last a few seconds, to a few minutes, to a half-hour, or more.",1,1,0,0,0
"59","In fact, there may be more than one reason.",0,0,0,0,0
"60","Other types must be taken within 120 hours — five days — after vaginal intercourse.",1,0.2,0.666666666666667,0.8,1
"61","Estrogen tells the eggs, which have been in a girl’s ovaries since birth, to grow up.",0,0,0,0,0
"62","The new adoptive parent or parents agree to raise the child as their own.",0,0,0,0,0
"63","Here’s what happens inside a male’s body when he has an erection: When his penis is not erect, blood trickles in and out of the penis continuously.",0.4,0.0666666666666667,0,0,0
"64","Each of these long, narrow, ﬂexible, and fairly straight tubes starts at the epididymis and winds all the way to the urethra.",0,0.533333333333333,0,0,0
"65","If she needs to take a prescription drug, she should check with her doctor or nurse to make sure the drug will not hurt the fetus.",0,0,0,0,0
"66","This can happen if you end up on a website by accident, or on purpose, that has material you were not expecting.",0,0,0,0,0
"67","You may wonder why it’s a good idea to learn some facts about bodies, about growing up, about sex, and about sexual health.",0,0,0,0,0
"68","The two vas deferens are about as ﬂexible as strands of cooked spaghetti.",0,0,0,0,0
"69","Some brands of the morning-­ after pill can be purchased by a female or male of any age and without a prescription at a local drugstore or online.",0,0.666666666666667,0.9,0.533333333333333,0
"70","They view puberty simply as a reg- ular and ordinary part of growing up.",0,0,0,0,0
"71","Do you ever really want or crave something?",0,0,0,0,0
"72","But some start as early as age nine and others start as late as age ﬁfteen, and that’s perfectly normal.",0,0,0,0,0
"73","Hepatitis is caused by a virus that infects a person’s liver.",0,0,0,0,0
"74","Sex hormones can also affect girls’ and boys’ feelings and moods.",0,0,0,0,0
"75","They hope that such treatments will either keep the virus quiet so that it will not be able to harm a person or will eliminate the virus from a person’s body entirely.",0,0,0,0,0
"76","Sexual means having something to do with sex .",0,1,0,0,0
"77","Herpes 2, or genital herpes, causes blisterlike sores to form on or near a person’s genitals and anus.",0.7,0.666666666666667,0.1,0.166666666666667,1
"78","There are many ways to have a baby and create a family.",0,0,0,0,0
"79","The size of any part of a person’s body is mostly inherited from a person’s family.",0,0,0,0,0
"80","At about the same time every month, when an egg is released from one of the ovaries, it is swept by tiny ﬁngerlike projections into one of the Fallopian tubes, where it begins its travels to the uterus.",0,0,0,0,0
"81","Among the twenty-three chromosomes in each egg cell and each sperm cell is one sex chromosome.",0,0,0,0,0
"82","Starting a pregnancy this way, by placing sperm from a male into a female’s vagina or uterus, is called artificial insem- ination — even though there is nothing artificial about the egg and sperm or the uniting of the egg and sperm.",0.0666666666666667,0.866666666666667,0,0,0
"83","When parents are ﬁrst given their newborn baby to hold and can feel the baby’s skin against their skin and can feel the baby breathe, they have — more often than not — new and special feelings of love and awe.",0,0,0,0,0
"84","The release of an egg is called ovulation.",0,0,0,0,0
"85","Sperm leave the penis, swim up the vagina, through the uterus, and into a Fallopian tube, where an egg may be waiting to unite with a sperm.",0.5,0.6,0,0,0
"86","Adoption means that a family will bring another family’s baby or child into their family and raise that child as their very own.",0,0,0,0,0
"87","They begin to produce the hor- mones estrogen and progesterone.",0,0.0333333333333333,0,0,0
"88","As they travel, the sperm grow up enough to be able to fertilize — to unite with — a female’s egg.",0,0.8,0,0,0
"89","Many boys feel that starting to ejaculate is one of the biggest changes of puberty.",0,0,0,0,0
"90","All new babies, and any person under age eighteen who has not been vaccinated, should be vaccinated to keep them from getting hepatitis B.",0,0,0,0,0
"91","These lice are different from common head lice, because head lice are not transmitted from one person to another by sexual contact.",0,0.0666666666666667,0.333333333333333,0.2,0
"92","A few days later, the clamped piece of umbilical cord dries out and falls off painlessly.",0,0,0,0,0
"93","They view puberty as a special part of growing up.",0,0,0,0,0
"94","Usually only one egg grows up at a time.",0,0,0,0,0
"95","For most kids, puberty takes place over a stretch of time — over a few years.",0,0,0,0,0
"96","If you are female, your vagina and ovaries are two of your sex organs.",0,0,0,0,0
"97","But many people think it can be com- forting and helpful to talk or even joke about sex and bodies with someone you know and trust like a friend, a parent, an older brother or sister, or a cousin.",0,0,0,0,0
"98","After that sperm enters the egg, none of the others can get in, and fertilization takes place.",0,0.333333333333333,0,0,0
"99","When people use the word adolescence, they are usually talking not only about the physical changes that take place during puberty, but also about all the new thoughts, feelings, relationships, and responsibilities kids have as they become young adults.",0,0,0,0,0
"100","Cyber-bullying means mistreating another person online .",0,0,0,0,0
